"Follow us on","Follow us on"
"The module is temporarily disabled. Go to <i>Stores > Configuration > Advanced > Developer > Debugger</i> and enable Debugger.","The module is temporarily disabled. Go to <i>Stores > Configuration > Advanced > Developer > Debugger</i> and enable Debugger."
"Logs and Reports","Logs and Reports"
"This feature is disabled in the configurations.","This feature is disabled in the configurations."
"Latest report file <strong>%1</strong> from ./var/report/.","Latest report file <strong>%1</strong> from ./var/report/."
"There is no report file available.","There is no report file available."
"The access to this feature is restricted.","The access to this feature is restricted."
